About,درباره,
Approve,تایید,
Approved,تایید شده,
Apps,برنامه‌ها,
CEO,مدیر عامل,
Documentation,مستندات,
Draft,پیش‌نویس,
Employee,کارمند,
Frappe School,مدرسه فرپه,
Frappe Support,پشتیبانی فرپه,
Generate Letter,نامه ایجاد کردن,
Generated Letter,نامه تولید شده,
HR Manager,مدیر منابع انسانی,
Keyboard Shortcuts,میانبرهای صفحه‌کلید,
Letter AI,نامه هوش مصنوعی,
Letter Name,نام نامه,
Link to the Company doctype to fetch recipient company details,پیوند به شرکت Doctype برای واکشی جزئیات شرکت گیرنده,
Link to the Employee doctype to fetch sender details,پیوند به Doctype کارمند برای واکشی جزئیات فرستنده,
Log out,خروج از سیستم,
My Profile,پروفایل من,
My Settings,تنظیمات من,
Please save first.,لطفا اول ذخیره کنید,
Recipient Company,شرکت گیرنده,
Reference Date,مرجع تاریخ,
Regenerate with Edits,بازسازی با ویرایش ها,
Reload,بارگذاری مجدد,
Report an Issue,گزارش مشکل,
Session Defaults,پیش‌فرض‌های نشست,
Submit,ارسال,
System Manager,مدیر سیستم,
Toggle Full Width,تغییر نمایش تمام‌عرض,
Toggle Theme,تغییر تم,
Tone,لحن,
Tone of the letter,صدای نامه,
Type,نوع,
User Forum,انجمن کاربران,
View Website,مشاهدهٔ وب‌سایت,
Workflow State,وضعیت گردش کار,
letter_ai,نامه_هوش مصنوعی,
prompt,درخواست,
sender,فرستنده,
