About,Hakkında,
Address,Adres,
Administrator,Yönetici,
Apps,Uygulamalar,
City,Şehir,
Contact Person,İlgili kişi,
Country,Ülke,
Email Address,E-Posta Adresi,
Employee,Personel,
Frappe Support,Frappe Desteği,
HR Manager,İnsan Kaynakları Müdürü,
HR User,İnsan Kaynakları Kullanıcısı,
Keyboard Shortcuts,Klavye Kısayolları,
Log out,Çıkış,
Notes,Notlar,
Organization Name,Şirket Adı,
Phone Number,Telefon Numarası,
Reload,Yeniden Yükle,
Session Defaults,Oturum Varsayılanları,
State,Eyalet,
System Health,Sistem Sağlığı,
System Manager,Sistem Yöneticisi,
Toggle Full Width,Geniş Görünüm,
Toggle Theme,Temayı Değiştir,
Type,Türü,
User Settings,Kullanıcı Ayarları,
View Website,Websitesine Git,
Website,Website,
Workspace Settings,Çalışma Alanı Ayarları,
ZIP Code,Posta Kodu,
